order_id,customer_id,region,category,order_date,price,quantity,discount,revenue
1,1096, north ,Office Supplies,2023-01-02,149.63,10,,735.66
2,1092,North, Furn. ,2023-01-03,,7,0,430.41
3,1642,SOUTH, Furn. ,2023-01-04,,1,5,530.82
4,1136,,Office Supplies,2023-01-05,43.74,7,,830.69
5,1595,North, Furn. ,2023-01-06,142.2,11,5,615.84
6,1696,West, Furn. ,2023-01-07,165.2,7,5,681.37
7,1184,,Furniture,2023-01-08,42.5,2,5,597.23
8,1074, north ,Electronics,2023-01-09,49.5,9,10,435.68
9,1079,SOUTH, Furn. ,2023-01-10,120.9,10,0,385.27
10,1816, north ,electronics,2023-01-11,133.29,2,15,334.2
11,1718,SOUTH,Office Supplies,2023-01-12,157.31,11,0,422.77
12,1963,North,electronics,2023-01-13,104.08,6,10,302.72
13,1253,SOUTH,electronics,2023-01-14,129.05,7,5,546.79
14,1838,South,electronics,2023-01-15,98.89,14,10,502.65
15,1154,South,Electronics,2023-01-16,92.22,3,15,-64.81
16,1288,East,Electronics,2023-01-17,117.04,3,5,473.85
17,1921,West, Furn. ,2023-01-18,89.18,7,0,689.29
18,1213,North,electronics,2023-01-19,88.44,3,5,641.5
19,1628,East,Electronics,2023-01-20,106.88,2,0,445.02
20,1372, north ,electronics,2023-01-21,105.03,2,10,425.49
21,1147,North,Electronics,2023-01-22,23.67,12,10,541.34
22,1973,South, Furn. ,2023-01-23,113.91,6,0,874.18
23,1865,SOUTH,Office Supplies,2023-01-24,112.1,9,0,487.45
24,1228,SOUTH, Furn. ,2023-01-25,149.97,13,10,798.21
25,1822,SOUTH,Furniture,2023-01-26,121.21,4,15,368.39
26,1483,East,Office Supplies,2023-01-27,114.77,4,,538.22
27,1082,East,Furniture,2023-01-28,156.7,2,10,441.24
28,1931,West,Office Supplies,2023-01-29,127.78,13,0,627.73
29,1910,West,Furniture,2023-01-30,128.97,7,5,412.88
30,1411,West,Electronics,2023-01-31,88.84,12,15,812.07
31,1671,,Furniture,2023-02-01,128.27,10,15,497.95
32,1014,North,Electronics,2023-02-02,170.83,9,5,463.88
33,1257,North,Furniture,2023-02-03,185.86,5,5,950.61
34,1931,North,Office Supplies,2023-02-04,122.67,8,5,323.0
35,1155, north , Furn. ,2023-02-05,136.78,9,5,278.66
36,1176, north ,Furniture,2023-02-06,,8,5,858.25
37,1494,East,Electronics,2023-02-07,121.55,9,0,398.52
38,1100,, Furn. ,2023-02-08,,8,0,275.88
39,1283,SOUTH,electronics,2023-02-09,124.85,9,5,59.42
40,1914, north ,Furniture,2023-02-10,37.4,14,10,565.56
41,1074,West,Furniture,2023-02-11,89.75,11,5,599.85
42,1259,South,Furniture,2023-02-12,163.58,8,10,740.86
43,1723,South,electronics,2023-02-13,153.72,9,5,440.73
44,1019,East,Office Supplies,2023-02-14,91.07,9,,589.17
45,1983, north ,Electronics,2023-02-15,110.0,2,10,311.48
46,1040,East,Furniture,2023-02-16,142.31,5,10,-18.58
47,1152,West, Furn. ,2023-02-17,148.92,9,10,147.52
48,1187,SOUTH,electronics,2023-02-18,115.36,2,,417.58
49,1270,North,Electronics,2023-02-19,134.99,8,5,509.09
50,1726,East,Furniture,2023-02-20,,2,15,457.11
51,1543,South,Furniture,2023-02-21,112.8,5,5,756.39
52,1037,East,Electronics,2023-02-22,99.65,1,10,713.49
53,1108, north ,electronics,2023-02-23,13.46,11,5,38.71
54,1235, north ,Office Supplies,2023-02-24,132.91,4,15,450.56
55,1857,West,Furniture,2023-02-25,142.78,1,5,1065.2
56,1167,West,Electronics,2023-02-26,,2,10,462.44
57,1300,SOUTH,Electronics,2023-02-27,89.54,8,5,661.62
58,1331, north ,Furniture,2023-02-28,119.64,1,10,516.92
59,1085,West,electronics,2023-03-01,107.99,5,,674.83
60,1836,East,Electronics,2023-03-02,132.58,3,,725.94
61,1599,North, Furn. ,2023-03-03,127.21,14,5,511.04
62,1333,,electronics,2023-03-04,89.52,3,15,234.72
63,1717,SOUTH, Furn. ,2023-03-05,105.62,3,15,424.1
64,1702,, Furn. ,2023-03-06,120.82,13,0,240.74
65,1136,North,Office Supplies,2023-03-07,97.98,2,0,219.43
66,1697, north ,Furniture,2023-03-08,109.22,8,,519.42
67,1538,SOUTH,Electronics,2023-03-09,107.14,12,0,520.38
